trial number, target position, gain, vibration, exposure time, 2afc, embodiment
0,0.2,1.5,-1,1.937124,Lower,3
1,0.2,1.5,-2,1.803689,Lower,3
2,0.2,0.5,1,9.511278,Lower,3
3,0.2,0.5,-2,2.138844,Lower,5
4,0.8,1.5,1,4.500156,Lower,5
5,0.8,1.5,-2,2.072097,Lower,5
6,0.8,0.5,-1,2.850863,Lower,5
7,0.8,0.5,-2,7.975311,Lower,3
8,0.2306146,1,-1,2.18315,Lower,4
9,0.7504892,1.4,1,50.1324,Lower,4
10,0.7671297,0.6,-2,2.795823,Lower,4
11,0.2260191,0.6,1,3.073591,Lower,5
12,0.1525274,1.4,-2,2.471586,Lower,4
13,0.7610544,1,1,1.53674,Lower,4
14,0.7547291,0.6,-1,1.937817,Higher,5
15,0.207017,1,-2,8.721205,Lower,5
